Path 1,Path 2,Path 3,URLs,0,1,2,3,4,5,6,7,8,9,10+
https/,,,18736,1,33,157,764,14,7,0,0,0,0,0
,cernarus.com/,,18736,1,33,157,764,14,7,0,0,0,0,0
,,category/,4807,0,7,40,0,0,0,0,0,0,0,0
,,finance/,3244,0,6,36,396,0,0,0,0,0,0,0
,,conversions/,2923,0,3,58,309,0,0,0,0,0,0,0
,,construction/,201,0,3,6,16,0,0,0,0,0,0,0
,,business/,193,0,0,3,26,7,0,0,0,0,0,0
,,health/,117,0,3,7,6,0,0,0,0,0,0,0
,,automotive/,86,0,0,0,9,7,7,0,0,0,0,0
,,lifestyle/,77,0,3,5,2,0,0,0,0,0,0,0
,,general/,28,0,3,2,0,0,0,0,0,0,0,0
,,_next/,16,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=acgkz,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=acgkz,1,0,0,0,0,0,0,0,0,0,0,0
,,category,1,0,1,0,0,0,0,0,0,0,0,0
,,?_rsc=1diq4,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=1diq4,1,0,0,0,0,0,0,0,0,0,0,0
,,cookies?_rsc=1diq4,1,0,0,0,0,0,0,0,0,0,0,0
,,terms?_rsc=1diq4,1,0,0,0,0,0,0,0,0,0,0,0
,,robots.txt?_rsc=1diq4,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=1diq4,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=1diq4,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=1rrk3,1,0,0,0,0,0,0,0,0,0,0,0
,,terms?_rsc=1rrk3,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=1rrk3,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=1rrk3,1,0,0,0,0,0,0,0,0,0,0,0
,,robots.txt?_rsc=1rrk3,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=1rrk3,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=1rrk3,1,0,0,0,0,0,0,0,0,0,0,0
,,cookies?_rsc=1rrk3,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=xbo3b,1,0,0,0,0,0,0,0,0,0,0,0
,,cookies?_rsc=xbo3b,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=xbo3b,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=xbo3b,1,0,0,0,0,0,0,0,0,0,0,0
,,robots.txt?_rsc=xbo3b,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=xbo3b,1,0,0,0,0,0,0,0,0,0,0,0
,,terms?_rsc=xbo3b,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=xbo3b,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=1abbm,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=1abbm,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml,1,0,0,0,0,0,0,0,0,0,0,0
,,terms?_rsc=143lc,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=143lc,1,0,0,0,0,0,0,0,0,0,0,0
,,cookies?_rsc=143lc,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=143lc,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=143lc,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=143lc,1,0,0,0,0,0,0,0,0,0,0,0
,,robots.txt?_rsc=143lc,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=143lc,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=slzno,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=slzno,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=slzno,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=slzno,1,0,0,0,0,0,0,0,0,0,0,0
,,terms?_rsc=slzno,1,0,0,0,0,0,0,0,0,0,0,0
,,cookies?_rsc=slzno,1,0,0,0,0,0,0,0,0,0,0,0
,,robots.txt?_rsc=slzno,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=slzno,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=r9g7w,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=r9g7w,1,0,0,0,0,0,0,0,0,0,0,0
,,terms?_rsc=r9g7w,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=r9g7w,1,0,0,0,0,0,0,0,0,0,0,0
,,robots.txt?_rsc=r9g7w,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=r9g7w,1,0,0,0,0,0,0,0,0,0,0,0
,,cookies?_rsc=r9g7w,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=r9g7w,1,0,0,0,0,0,0,0,0,0,0,0
,,terms?_rsc=1nfy7,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=1nfy7,1,0,0,0,0,0,0,0,0,0,0,0
,,cookies?_rsc=1nfy7,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=1nfy7,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=1nfy7,1,0,0,0,0,0,0,0,0,0,0,0
,,robots.txt?_rsc=1nfy7,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=1nfy7,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=1nfy7,1,0,0,0,0,0,0,0,0,0,0,0
,,terms?_rsc=1b1pp,1,0,0,0,0,0,0,0,0,0,0,0
,,robots.txt?_rsc=1b1pp,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=1b1pp,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=1b1pp,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=1b1pp,1,0,0,0,0,0,0,0,0,0,0,0
,,cookies?_rsc=1b1pp,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=1b1pp,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=1b1pp,1,0,0,0,0,0,0,0,0,0,0,0
,,terms?_rsc=1ukp2,1,0,0,0,0,0,0,0,0,0,0,0
,,cookies?_rsc=1ukp2,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=1ukp2,1,0,0,0,0,0,0,0,0,0,0,0
,,category?_rsc=1ukp2,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=1ukp2,1,0,0,0,0,0,0,0,0,0,0,0
,,robots.txt?_rsc=1ukp2,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=1ukp2,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=1ukp2,1,0,0,0,0,0,0,0,0,0,0,0
,,?_rsc=oykhn,1,0,0,0,0,0,0,0,0,0,0,0
,,about?_rsc=oykhn,1,0,0,0,0,0,0,0,0,0,0,0
,,sitemap.xml?_rsc=oykhn,1,0,0,0,0,0,0,0,0,0,0,0
,,privacy?_rsc=oykhn,1,0,0,0,0,0,0,0,0,0,0,0
